juan123,pass123,student,89284,Juan Carlos,Perez Gomez,2000-01-15,
maria456,pass456,student,62637,Maria,Lopez,1999-05-20,
carlos789,pass789,student,25404,Carlos,Gomez,2001-03-10,
test_student1,pass1,student,46660,Test,Student1,2000-01-01,
test_student2,pass2,student,33143,Test,Student2,2000-01-02,
"juan123","pass123","student"
"maria456","pass456","student"
"carlos789","pass789","student"
"test_student1","pass1","student"
"test_student2","pass2","student"
"juan123","pass123","student"
"maria456","pass456","student"
"carlos789","pass789","student"
"test_student1","pass1","student"
"test_student2","pass2","student"
"juan_perez","student123","student"
"juan123","pass123","student"
"maria456","pass456","student"
"carlos789","pass789","student"
"test_student1","pass1","student"
"test_student2","pass2","student"
"juan_perez","student123","student"
"maria_lopez","student123","student"
"juan123","pass123","student"
"maria456","pass456","student"
"carlos789","pass789","student"
"test_student1","pass1","student"
"test_student2","pass2","student"
"juan_perez","student123","student"
"maria_lopez","student123","student"
"carlos_gomez","student123","student"
"juan123","pass123","student"
"maria456","pass456","student"
"carlos789","pass789","student"
"test_student1","pass1","student"
"test_student2","pass2","student"
"juan_perez","student123","student"
"maria_lopez","student123","student"
"carlos_gomez","student123","student"
"sebas","123456789","student"
